,#AUTHID,STATUS,sentiNEG,sentiPOS,sentiNEU,sentiCOMPOUND,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY
0,b7b7764cfa1c523e4e93ab2a79a946c4,likes the sound of thunder.,0.0,0.412,0.588,0.4215,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,06/19/09 03:21 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
1,b7b7764cfa1c523e4e93ab2a79a946c4,is so sleepy it's not even funny that's she can't get to sleep.,0.167,0.0,0.833,-0.3412,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/02/09 08:41 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
2,b7b7764cfa1c523e4e93ab2a79a946c4,"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3",0.195,0.278,0.527,0.628,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,06/15/09 01:15 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
3,b7b7764cfa1c523e4e93ab2a79a946c4,likes how the day sounds in this new song.,0.0,0.259,0.741,0.4215,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,06/22/09 04:48 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
4,b7b7764cfa1c523e4e93ab2a79a946c4,is home. <3,0.0,0.592,0.408,0.4404,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/20/09 02:31 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
5,b7b7764cfa1c523e4e93ab2a79a946c4,www.thejokerblogs.com,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/16/09 03:21 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
6,b7b7764cfa1c523e4e93ab2a79a946c4,"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.",0.0,0.515,0.485,0.8916,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,06/27/09 05:41 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
7,b7b7764cfa1c523e4e93ab2a79a946c4,is in Kentucky. 421 miles into her 1100 mile journey home.,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/18/09 06:34 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
8,b7b7764cfa1c523e4e93ab2a79a946c4,was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.,0.188,0.053,0.759,-0.6249,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/09/09 02:58 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
9,b7b7764cfa1c523e4e93ab2a79a946c4,is celebrating her new haircut by listening to swinger music and generally looking like a doofus.,0.0,0.323,0.677,0.7351,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/07/09 11:41 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
10,b7b7764cfa1c523e4e93ab2a79a946c4,has a crush on the Green Lantern.,0.242,0.0,0.758,-0.1531,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/15/09 07:48 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
11,b7b7764cfa1c523e4e93ab2a79a946c4,has magic on the brain.,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/05/09 04:27 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
12,b7b7764cfa1c523e4e93ab2a79a946c4,"saw Transformers, Up, and Year One this week. Good movie overload. :D",0.136,0.376,0.488,0.6633,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,06/25/09 04:36 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
13,b7b7764cfa1c523e4e93ab2a79a946c4,Who wants to meet up on schedule pick-up day at Oviedo?,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/11/09 03:38 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
14,b7b7764cfa1c523e4e93ab2a79a946c4,"desires the thrill of inspiration. Also, money.",0.0,0.541,0.459,0.7096,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/07/09 09:35 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
15,b7b7764cfa1c523e4e93ab2a79a946c4,is going to bed at 9:30! Yeah!,0.0,0.317,0.683,0.4184,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/18/09 01:29 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
16,b7b7764cfa1c523e4e93ab2a79a946c4,"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform.",0.0,0.178,0.822,0.3818,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/21/09 10:18 PM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
17,b7b7764cfa1c523e4e93ab2a79a946c4,thinks intangibility should be an option in reality settings.,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,08/31/09 02:27 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
18,b7b7764cfa1c523e4e93ab2a79a946c4,"is tired. *PROPNAME*, let me go to sleep pl0x.",0.266,0.0,0.734,-0.4404,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/11/09 05:44 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
19,b7b7764cfa1c523e4e93ab2a79a946c4,is discovering the many flavors of insomnia.,0.0,0.0,1.0,0.0,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,07/27/09 06:59 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
20,b7b7764cfa1c523e4e93ab2a79a946c4,"is watching cousin play computer game on televison box thing. Also, sleepy.",0.0,0.179,0.821,0.34,2.65,3.0,3.15,3.25,4.4,n,y,n,n,y,06/16/09 04:52 AM,180.0,14861.6,93.29,0.03,15661.0,0.49,0.1
